SKU,product_name,category,gross_weight,diamond_weight,colour_stones,net_weight,product_size,product_image,usertypes
BZ 005,BRACELET,BRACELET,5.78,0.21,0,5.739,small,,"Premium, Basic"
BZ 028,BRACELET,BRACELET,6.05,0.2,2.33,5.544,small,,"Premium, Basic"
BZ 041,BRACELET,BRACELET,4.99,0.17,0,4.9558,small,,"Premium, Basic"
DN 021,NECKLACE,NECKLACE,18.68,0.69,7.4,17.063,small,,"Premium, Basic"
DN 042,NECKLACE,NECKLACE,13.84,0.64,0,13.712,small,,"Premium, Basic"
DN 059,NECKLACE,NECKLACE,12.98,0.52,0,12.877,small,,"Premium, Basic"
DN 060,NECKLACE,NECKLACE,4.12,0.17,0,4.086,small,,"Premium, Basic"
LR 406,RING,RING,1.57,0.17,0,1.536,small,,"Premium, Basic"
LR 414,RING,RING,1.63,0.06,0,1.619,small,,"Premium, Basic"
LR 452,RING,RING,0.95,0.04,0,0.942,small,,"Premium, Basic"
LR 466,RING,RING,0.92,0.11,0,0.897,small,,"Premium, Basic"
LR 478,RING,RING,1.99,0.11,0,1.969,small,,"Premium, Basic"
LR 489,RING,RING,1.59,0.18,0,1.554,small,,"Premium, Basic"
LR 497,RING,RING,2.12,0.15,0.53,1.986,small,,"Premium, Basic"
LR 504,RING,RING,1.44,0.15,0,1.411,small,,"Premium, Basic"
LR 507,RING,RING,1.1,0.05,0,1.091,small,,"Premium, Basic"
P 202,PENDENT,PENDENT,1.05,0.11,0.9,0.848,small,,"Premium, Basic"
P 206,PENDENT,PENDENT,0.63,0.02,0,0.626,small,,"Premium, Basic"
P 213,PENDENT,PENDENT,0.56,0.05,0,0.55,small,,"Premium, Basic"
SD 035,STUD,STUD,1.44,0.16,0,1.409,small,,"Premium, Basic"
SD 045,STUD,STUD,1.77,0.07,0,1.757,small,,"Premium, Basic"
SD 157,STUD,STUD,1.47,0.05,0,1.461,small,,"Premium, Basic"
SD 162,STUD,STUD,1.34,0.12,0,1.315,small,,"Premium, Basic"
SD 187,STUD,STUD,0.83,0.1,0,0.811,small,,"Premium, Basic"
